"Date","Price","Open","High","Low","Vol.","Change %"
"03/18/2024","13.91","14.25","14.30","13.90","3.49M","-2.32%"
"03/15/2024","14.24","14.55","14.83","14.21","4.48M","-2.67%"
"03/14/2024","14.63","14.80","15.02","14.40","2.53M","-1.61%"
"03/13/2024","14.87","14.69","15.20","14.62","2.90M","1.02%"
"03/12/2024","14.72","14.35","14.84","14.09","2.38M","2.01%"
"03/11/2024","14.43","14.64","14.94","14.36","2.11M","-1.50%"
"03/08/2024","14.65","15.40","15.63","14.52","3.17M","-4.00%"
"03/07/2024","15.26","15.26","15.51","15.05","2.11M","0.00%"
"03/06/2024","15.26","15.22","15.89","14.94","3.82M","1.73%"
"03/05/2024","15.00","14.95","15.28","14.78","3.15M","-1.45%"
"03/04/2024","15.22","14.93","15.59","14.83","4.37M","1.81%"
"03/01/2024","14.95","14.18","15.09","13.99","4.90M","4.77%"
"02/29/2024","14.27","14.34","14.65","14.03","2.64M","0.21%"
"02/28/2024","14.24","14.00","14.47","13.89","2.44M","0.21%"
"02/27/2024","14.21","13.70","14.29","13.68","2.80M","3.87%"
"02/26/2024","13.68","13.31","13.74","13.20","2.28M","1.26%"
"02/23/2024","13.51","13.30","13.79","13.12","2.32M","1.12%"
"02/22/2024","13.36","13.50","13.65","13.34","1.82M","-0.37%"
"02/21/2024","13.41","13.46","13.67","13.23","1.73M","-0.59%"
"02/20/2024","13.49","13.96","14.05","13.16","3.78M","-4.46%"
"02/16/2024","14.12","14.46","14.53","14.10","2.30M","-2.69%"
"02/15/2024","14.51","14.54","14.75","14.23","2.40M","0.69%"
"02/14/2024","14.41","14.33","14.43","14.05","2.50M","1.69%"
"02/13/2024","14.17","14.20","14.40","13.77","3.79M","-3.80%"
"02/12/2024","14.73","14.58","15.22","14.53","2.75M","0.48%"
"02/09/2024","14.66","14.37","15.23","14.30","3.58M","2.16%"
"02/08/2024","14.35","14.01","14.44","13.89","1.84M","1.99%"
"02/07/2024","14.07","14.12","14.30","13.78","1.95M","-0.21%"
"02/06/2024","14.10","13.60","14.30","13.43","3.05M","4.75%"
"02/05/2024","13.46","14.50","14.61","13.40","4.36M","-8.62%"
"02/02/2024","14.73","14.15","14.92","14.08","2.92M","2.15%"
"02/01/2024","14.42","14.34","14.42","14.02","2.22M","1.34%"
"01/31/2024","14.23","14.40","14.83","14.22","2.68M","-2.20%"
"01/30/2024","14.55","14.54","14.82","14.51","1.65M","-1.56%"
"01/29/2024","14.78","14.50","14.81","14.31","2.16M","2.00%"
"01/26/2024","14.49","14.44","14.72","14.41","2.29M","-0.21%"
"01/25/2024","14.52","13.97","14.54","13.92","3.64M","4.09%"
"01/24/2024","13.95","14.28","14.38","13.82","2.51M","-1.62%"
"01/23/2024","14.18","15.00","15.02","14.05","3.50M","-4.83%"
"01/22/2024","14.90","14.50","15.16","14.30","3.61M","2.69%"
"01/19/2024","14.51","14.36","14.60","14.09","2.40M","1.54%"
"01/18/2024","14.29","14.20","14.77","14.05","3.91M","1.49%"
"01/17/2024","14.08","13.86","14.11","13.71","2.71M","0.72%"
"01/16/2024","13.98","14.60","14.62","13.93","3.58M","-5.22%"
"01/12/2024","14.75","15.30","15.62","14.73","2.48M","-3.28%"
"01/11/2024","15.25","15.65","15.80","15.24","2.99M","-3.05%"
"01/10/2024","15.73","15.12","15.76","14.97","3.19M","3.76%"
"01/09/2024","15.16","15.59","15.62","15.12","3.11M","-3.99%"
"01/08/2024","15.79","15.78","16.12","15.70","3.03M","-1.07%"
"01/05/2024","15.96","16.16","16.52","15.96","2.62M","-2.44%"
"01/04/2024","16.36","16.51","16.75","16.31","2.67M","-1.98%"
"01/03/2024","16.69","16.30","16.83","15.90","4.19M","0.12%"
"01/02/2024","16.67","17.25","17.59","16.58","4.43M","-4.91%"
"12/29/2023","17.53","18.04","18.16","17.46","4.54M","-2.99%"
"12/28/2023","18.07","18.05","18.32","17.85","3.57M","-1.63%"
"12/27/2023","18.37","17.43","18.37","17.37","4.80M","5.82%"
"12/26/2023","17.36","16.98","17.41","16.82","3.08M","2.30%"
"12/22/2023","16.97","16.78","17.20","16.45","3.33M","-0.06%"
"12/21/2023","16.98","17.19","17.34","16.59","3.98M","0.30%"
"12/20/2023","16.93","17.53","18.38","16.89","5.55M","-4.46%"
"12/19/2023","17.72","17.89","18.59","17.23","5.45M","-0.78%"
"12/18/2023","17.86","17.24","18.51","17.10","7.35M","3.48%"
"12/15/2023","17.26","17.40","17.58","17.01","7.12M","-1.03%"
"12/14/2023","17.44","17.14","17.88","16.80","10.75M","4.49%"
"12/13/2023","16.69","15.22","16.80","15.19","9.09M","9.66%"
"12/12/2023","15.22","15.12","15.36","14.84","4.21M","1.00%"
